name	university	text	link
Design | Media Arts B.A.	University of California, Los Angeles	The undergraduate program begins with the study of basic design elements and processes: form, color, drawing, letterforms and typography, motion, and interactivity. Historical perspectives and social issues are also introduced. At the upper-division level, studio courses explore current uses of interactive media and new directions in visual communication design, including the study of time and motion, as well as virtual form and space in computer-generated environments. Through a balance of courses in theory, criticism, and practice, students develop an understanding of design principles. Most courses are taught as studios of no more than 22 students, which encourages individual growth and fosters a sense of community within the department.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=207
Computational and Systems Biology B.S.	University of California, Los Angeles	Computational and Systems Biology majors select a coherent integration of courses from one of five designated concentrations: bioinformatics, biological data sciences, biomedical systems, neurosystems, or systems biology. The synergy for all concentrations is integrative systems, information, and computational systems modeling sciences in biology. The focus is primarily quantitative, as mastery of advanced quantitative skills is essential for multidisciplinary understanding. Each concentration emphasizes different systems or modalities, and modeling or other computational approaches. For students interested in broad options for postgraduate studies in life sciences and related areas, including medicine, the systems biology concentration covers the widest spectrum of quantitative systems studies at all levels. The other concentrations are more focused. For example, bioinformatics is more focused on computational aspects of genetics and biology at molecular and cellular levels. Students normally select one, but because the concentrations have substantial methodologic overlap, well-justified combinations are also possible.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=208
Comparative Literature B.A.	University of California, Los Angeles	Comparative literature at UCLA focuses on those elements which define literature in general, such as genre, period, theme, language, and theory. Courses are designed to provide students with a historical understanding of the concepts of genre and period by studying specific genres and periods or literary movements. Paradigmatic or thematic courses offer another way of examining literature synchronically or diachronically regardless of language boundaries.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=192
Communication B.A.	University of California, Los Angeles	The major in Communication is an interdisciplinary curriculum leading to a Bachelor of Arts (BA) degree. It seeks to provide students with comprehensive knowledge of the nature of human communication at multiple levels of analysis. The major coursework includes content from the natural and social sciences, as well as the humanities. Four areas of focus are offered: communication technology and digital systems, interpersonal communication, mass communication and media institutions, and political and legal communication.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=181
Cognitive Science B.S.	University of California, Los Angeles	The Cognitive Science major focuses on the study of intelligent systems, both real and artificial. While including a strong foundation in the traditional areas of psychology, the major is interdisciplinary in nature and emphasizes subject matter within cognitive psychology, computer science, mathematics, and related disciplines.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=179
Climate Science B.S.	University of California, Los Angeles	Climate change is one of the most pressing issues facing this generation. Students trained in the scientific basis for climate change and estimates of climate risk will form part of the solution. The Department of Atmospheric & Oceanic Sciences' new Climate Science major will provide students with the scientific understanding they need to assess climate impacts from both human-induced climate change and natural climate variability, as well as finding solutions to manage and mitigate them. It will also provide understanding of the climate system needed to communicate climate information to decision-makers in the public sector, private sector and nongovernmental organizations	http://newstudents.ucla.edu/studyarea/?id=414
Classical Civilization B.A.	University of California, Los Angeles	The civilizations of ancient Greece and Rome have made important contributions to the political, social, artistic, and intellectual development of the Western world. The purpose of the Classical Civilization major is to provide students with a formal and balanced introduction to the historical and cultural experiences of the ancient Greeks and Romans. The program of study is structured, yet not rigid. Lower-division survey courses and requirements in elementary language study, ancient history, and classical art establish an essential background of knowledge, while electives encourage individual and specialized interests. The program offers a broad range of courses in the fields of language, literature, history, mythology, religion, philosophy, art, and archaeology. The major serves as excellent and rewarding preparation for a professional career in medicine, law, business, journalism, communications, or the arts.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=169
Chinese B.A.	University of California, Los Angeles	The Chinese major offers a very extensive array of courses in Chinese language, premodern and modern literature, linguistics, religion, archaeology, and film. Students are required to achieve advanced levels of proficiency in modern spoken and written Chinese, while also acquiring basic knowledge of premodern texts. Students who complete this major have the linguistic and cultural competence to work in various fields related to China, including business, finance, trade, journalism, diplomacy, cultural institutions and non-profit organizations, education, and academia.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=162
Chicana and Chicano Studies B.A.	University of California, Los Angeles	The BA program in Chicana and Chicano Studies is committed to the practice of different forms of scholarship and pedagogy and to the promotion of critical thinking about such issues as gender, sexuality, social action, language, race, ethnicity, class, assimilation/acculturation paradigms, and indigenous traditions. The literary and visual arts often function as vehicles for social change and creative empowerment, and so they constitute one focus of the curriculum, that aims to strike a balance among the social sciences, humanities, arts, and the professions. The major prepares students for graduate education in academic and professional fields and for a variety of positions that involve community and social service in the U.S. and abroad.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=626
Chemistry/Materials Science B.S.	University of California, Los Angeles	The Chemistry/Materials Science major is designed for students who are interested in chemistry with an emphasis on material properties and provides students the opportunity to gain expertise in both chemistry and the science and engineering in materials such as semiconductors, photonic materials, polymers, biomaterials, ceramics, and nano-scale structures. Students explore the reactivity of such materials in different environments and gain understanding of how chemical compositions affect properties.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=155
