Business Analytics Executive Overview | Coursera Businesses run on data, and data offers little value without analytics. The ability to process data to make predictions about the behavior of individuals or markets, to diagnose systems or situations, or to prescribe actions for people or processes drives business today. Increasingly many businesses are striving to become âdata-drivenâ, proactively relying more on cold hard information and sophisticated algorithms than upon the gut instinct or slow reactions of humans. This course will focus on understanding key analytics concepts and the breadth of analytic possibilities. Together, the class will explore dozens of real-world analytics problems and solutions across most major industries and business functions. The course will also touch on analytic technologies, architectures, and roles from business intelligence to data science, and from data warehouses to data lakes. And the course will wrap up with a discussion of analytics trends and futures. https://www.coursera.org/illinois
Process Improvement | Coursera In this course you will focus on process improvement. You will learn how to set organizational priorities for continuous process improvement, how to execute process improvement projects, and how to sustain the initiative for continuous improvements.You will be able to:   â¢ Relate underlying principles to frameworks and techniques used for process improvement  â¢ Synthesize information to make decisions for organizational initiatives and process improvement  â¢ Apply analytical techniques for tactical decisions in a process improvement project  This course is part of Gies College of Businessâ suite of online programs, including the iMBA and iMSM. Learn more about admission into these programs and explore how your Coursera work can be leveraged if accepted into a degree program at https://degrees.giesbusiness.illinois.edu/idegrees/. https://www.coursera.org/illinois
Planet Earth...and You! | Coursera Earthquakes, volcanoes, mountain building, ice ages, landslides, floods, life evolution, plate motionsâall of these phenomena have interacted over the vast expanses of deep time to sculpt the dynamic planet that we live on today. Planet Earth presents an overview of several aspects of our home, from a geological perspective. We begin with earthquakesâwhat they are, what causes them, what effects they have, and what we can do about them. We will emphasize that plate tectonicsâthe grand unifying theory of geologyâexplains how the map of our planet's surface has changed radically over geologic time, and why present-day geologic activityâincluding a variety of devastating natural disasters such as earthquakesâoccur where they do. We consider volcanoes, types of eruptions, and typical rocks found there. Finally, we will delve into the processes that produce the energy and mineral resources that modern society depends on, to help understand the context of the environment and sustainability challenges that we will face in the future. https://www.coursera.org/illinois
Financial Accounting: Advanced Topics | Coursera In this course, you will explore advanced topics in financial accounting. You will start your journey with accounting for assets with more than one-year life. You will learn in detail how firms account for fixed assets. You will then move to financing of assets and discuss accounting for liabilities. The course will continue with an in-depth exploration of shareholdersâ equity. Finally, you will critically evaluate preparation, components, and analysis of cash flows statement. Upon successful completion of this course, you will be able to: â¢	Account for fixed assets â¢	Understand accounting for liabilities â¢	Evaluate shareholdersâ equity section of a balance sheet â¢	Understand preparation and information provided by cash flows statement  This course is part of the iMBA offered by the University of Illinois, a flexible, fully-accredited online MBA at an incredibly competitive price. For more information, please see the Resource page in this course and onlinemba.illinois.edu. https://www.coursera.org/illinois
Operations and Supply Chain Decisions and Metrics | Coursera In this course, you will learn about the role of operations and how they are connected to other business functions in manufacturing and service-focused organizations. You will learn and practice the use of decision-making frameworks and techniques applicable at all levels, from management-level strategic decisions such as connecting process to the needs of various customer segments, to front-line tactical decisions such as choosing between ordering larger quantities vs. ordering more frequently. You will be able to:   â¢ Relate underlying principles to operations management frameworks and techniques  â¢ Synthesize information to make strategic operations decisions  â¢ Evaluate processes on different dimensions   â¢ Apply analytical techniques for tactical operations decision  This course is part of Gies College of Businessâ suite of online programs, including the iMBA and iMSM. Learn more about admission into these programs and explore how your Coursera work can be leveraged if accepted into a degree program at https://degrees.giesbusiness.illinois.edu/idegrees/. https://www.coursera.org/illinois
Cloud Computing Concepts, Part 1 | Coursera Cloud computing systems today, whether open-source or used inside companies, are built using a common set of core techniques, algorithms, and design philosophies â all centered around distributed systems. Learn about such fundamental distributed computing "concepts" for cloud computing.Some of these concepts include: clouds, MapReduce, key-value/NoSQL stores, classical distributed algorithms, widely-used distributed algorithms, scalability, trending areas, and much, much more!    Know how these systems work from the inside out. Get your hands dirty using these concepts with provided homework exercises. In the programming assignments, implement some of these concepts in template code (programs) provided in the C++ programming language. Prior experience with C++ is required.   The course also features interviews with leading researchers and managers, from both industry and academia. https://www.coursera.org/illinois
Introduction to Business Analytics: Communicating with Data  | Coursera This course introduces students to the science of business analytics while casting a keen eye toward the artful use of numbers found in the digital space. The goal is to provide businesses and managers with the foundation needed to apply data analytics to real-world challenges they confront daily in their professional lives. Students will learn to identify the ideal analytic tool for their specific needs; understand valid and reliable ways to collect, analyze, and visualize data; and utilize data in decision making for their agencies, organizations or clients. https://www.coursera.org/illinois
Fundamentals of Accounting Capstone | Coursera **You should complete all other courses in the Fundamentals of Accounting Specialization before beginning this course.**The capstone project will be set in the context of a realistic small-business enterprise, and will require you to think deeply and apply the accounting concepts presented in the other courses in the Fundamentals of Accounting. While navigating the daily operations of the business, you will have an opportunity to consider the accounting implications of the economic events encountered, as well as how these economic events should be communicated to decision makers.  If you enjoy this business course and are interested in an MBA, consider applying to the iMBA, a flexible, fully-accredited online MBA at an incredibly competitive price offered by the University of Illinois. For more information, please see the Resource page in this course and onlinemba.illinois.edu. https://www.coursera.org/illinois
Constructivism and Mathematics, Science, and Technology Education | Coursera This course is designed to help participants examine the implications of constructivism for learning and teaching in science, mathematics, and technology focused areas. Course readings, discussions, and assignments will examine constructivist views of learning, research on students' ideas and idea-based interactions, research on instructional approaches taking student ideas into account, and challenges in implementing constructivist perspectives in instruction. https://www.coursera.org/illinois
Corporate & Commercial Law II: Business Forms, Financing & Governmental Regulation | Coursera This course is the second course in a two-part series on corporate and commercial law. In this part, we focus on three main topics: business organizations, business financing, and governmental regulation. In the first module, we discuss the characteristics of a number of the most common forms of business entities, such as corporations and LLCs. Module two is devoted to debtor-creditor relationships, including bank financing, debt financing, secured transactions, and bankruptcy. We wrap up the course with two modules that focus on the most important aspects of governmental regulation, including the process by which administrative agencies make rules, and the regulation of anti-competitive behavior and securities transactions. https://www.coursera.org/illinois
